ID,condition,question,prevalence,trial
1078,specific,q10,12,15
1078,specific,q30,12,5
1078,specific,q14,10,3
1078,specific,q16,30,13
1078,specific,q22,8,4
1078,specific,q20,16,16
1078,specific,q24,15,14
1078,specific,q27,20,11
1078,specific,q40,15,2
1078,specific,q39,11,8
1078,specific,q34,4,12
1078,specific,q35,13,10
1078,specific,q32,9,9
1079,baseline,q7,5,12
1079,baseline,q8,1,14
1079,baseline,q9,30,8
1079,baseline,q10,5,11
1079,baseline,q30,45,5
1079,baseline,q14,2,16
1079,baseline,q16,50,4
1079,baseline,q22,10,6
1079,baseline,q20,10,3
1079,baseline,q24,25,1
1079,baseline,q27,60,9
1079,baseline,q40,25,2
1079,baseline,q39,5,7
1079,baseline,q34,1,17
1079,baseline,q35,14,10
1079,baseline,q32,6,15
1080,generic,q7,35,17
1080,generic,q8,55,10
1080,generic,q9,5,15
1080,generic,q10,25,6
1080,generic,q30,10,2
1080,generic,q14,75,13
1080,generic,q16,10,12
1080,generic,q22,79,8
1080,generic,q20,75,5
1080,generic,q24,5,11
1080,generic,q27,10,9
1080,generic,q40,15,16
1080,generic,q39,80,4
1080,generic,q34,75,1
1080,generic,q35,60,3
1080,generic,q32,65,7
1081,baseline,q7,3,2
1081,baseline,q8,2,17
1081,baseline,q9,33,12
1081,baseline,q10,5,16
1081,baseline,q30,58,11
1081,baseline,q14,6,10
1081,baseline,q16,17,15
1081,baseline,q22,2,7
1081,baseline,q20,7,13
1081,baseline,q24,35,4
1081,baseline,q27,9,14
1081,baseline,q40,24,1
1081,baseline,q39,3,3
1081,baseline,q34,2,8
1081,baseline,q35,5,5
1081,baseline,q32,2,6
1082,specific,q7,22,15
1082,specific,q8,45,9
1082,specific,q9,85,7
1082,specific,q10,66,16
1082,specific,q30,24,1
1082,specific,q14,72,10
1082,specific,q16,14,4
1082,specific,q22,18,12
1082,specific,q20,7,13
1082,specific,q24,55,17
1082,specific,q27,75,5
1082,specific,q40,72,14
1082,specific,q39,10,6
1082,specific,q34,36,8
1082,specific,q35,74,3
1082,specific,q32,38,11
1083,specific,q7,75,1
1083,specific,q8,1,11
1083,specific,q9,75,7
1083,specific,q10,1,3
1083,specific,q30,100,12
1083,specific,q14,1,5
1083,specific,q16,5,15
1083,specific,q22,1,16
1083,specific,q20,1,4
1083,specific,q24,25,14
1083,specific,q27,1,10
1083,specific,q40,90,13
1083,specific,q39,1,9
1083,specific,q34,1,17
1083,specific,q35,75,8
1083,specific,q32,1,2
1084,baseline,q7,11,13
1084,baseline,q8,28,9
1084,baseline,q9,24,12
1084,baseline,q10,44,14
1084,baseline,q30,51,5
1084,baseline,q14,63,6
1084,baseline,q16,32,3
1084,baseline,q22,3,15
1084,baseline,q20,9,16
1084,baseline,q24,16,4
1084,baseline,q27,16,17
1084,baseline,q40,36,2
1084,baseline,q39,44,10
1084,baseline,q34,27,7
1084,baseline,q35,70,1
1084,baseline,q32,33,8
1085,baseline,q7,43,3
1085,baseline,q8,7,2
1085,baseline,q9,72,10
1085,baseline,q10,17,5
1085,baseline,q30,38,7
1085,baseline,q14,34,12
1085,baseline,q16,28,6
1085,baseline,q22,50,11
1085,baseline,q20,26,1
1085,baseline,q24,19,14
1085,baseline,q27,58,4
1085,baseline,q40,61,9
1085,baseline,q39,6,16
1085,baseline,q34,22,8
1085,baseline,q35,90,13
1085,baseline,q32,45,17
1086,generic,q7,25,15
1086,generic,q8,25,11
1086,generic,q9,40,9
1086,generic,q10,50,5
1086,generic,q30,50,8
1086,generic,q14,50,16
1086,generic,q16,50,14
1086,generic,q22,75,1
1086,generic,q20,50,12
1086,generic,q24,40,13
1086,generic,q27,75,10
1086,generic,q40,75,2
1086,generic,q39,50,3
1086,generic,q34,25,17
1086,generic,q35,50,6
1086,generic,q32,75,4
1087,specific,q7,19,5
1087,specific,q8,11,12
1087,specific,q9,16,17
1087,specific,q10,17,14
1087,specific,q30,32,2
1087,specific,q14,26,13
1087,specific,q16,17,3
1087,specific,q22,15,11
1087,specific,q20,19,15
1087,specific,q24,25,9
1087,specific,q27,15,10
1087,specific,q40,12,1
1087,specific,q39,10,4
1087,specific,q34,3,6
1087,specific,q35,47,7
1087,specific,q32,6,8
1088,baseline,q7,60,1
1088,baseline,q8,15,17
1088,baseline,q9,20,14
1088,baseline,q10,24,2
1088,baseline,q30,50,7
1088,baseline,q14,75,9
1088,baseline,q16,95,10
1088,baseline,q22,40,8
1088,baseline,q20,12,6
1088,baseline,q24,10,3
1088,baseline,q27,25,15
1088,baseline,q40,30,5
1088,baseline,q39,20,12
1088,baseline,q34,15,4
1088,baseline,q35,40,11
1088,baseline,q32,10,13
1089,specific,q7,38,7
1089,specific,q8,15,13
1089,specific,q9,65,3
1089,specific,q10,50,5
1089,specific,q30,57,2
1089,specific,q14,40,17
1089,specific,q16,25,11
1089,specific,q22,28,4
1089,specific,q20,20,10
1089,specific,q24,60,16
1089,specific,q27,20,14
1089,specific,q40,75,8
1089,specific,q39,12,9
1089,specific,q34,10,6
1089,specific,q35,40,12
1089,specific,q32,37,15
1090,generic,q7,23,15
1090,generic,q8,11,8
1090,generic,q9,36,2
1090,generic,q10,16,17
1090,generic,q30,50,11
1090,generic,q14,52,10
1090,generic,q16,48,4
1090,generic,q22,14,1
1090,generic,q20,19,3
1090,generic,q24,12,5
1090,generic,q27,6,14
1090,generic,q40,37,7
1090,generic,q39,21,16
1090,generic,q34,9,13
1090,generic,q35,59,6
1090,generic,q32,6,9
1091,generic,q7,20,12
1091,generic,q8,20,2
1091,generic,q9,50,14
1091,generic,q10,90,4
1091,generic,q30,80,13
1091,generic,q14,66,7
1091,generic,q16,20,17
1091,generic,q22,100,8
1091,generic,q20,60,11
1091,generic,q24,75,5
1091,generic,q27,100,9
1091,generic,q40,75,1
1091,generic,q39,10,3
1091,generic,q34,33,15
1091,generic,q35,60,16
1091,generic,q32,25,10
1092,specific,q7,62,15
1092,specific,q8,9,10
1092,specific,q9,50,11
1092,specific,q10,13,9
1092,specific,q30,50,4
1092,specific,q14,13,8
1092,specific,q16,65,16
1092,specific,q22,17,12
1092,specific,q20,28,6
1092,specific,q24,23,7
1092,specific,q27,25,14
1092,specific,q40,89,2
1092,specific,q39,75,1
1092,specific,q34,12,3
1092,specific,q35,90,17
1092,specific,q32,10,13
1093,baseline,q7,6,7
1093,baseline,q8,1,1
1093,baseline,q9,4,16
1093,baseline,q10,2,4
1093,baseline,q30,89,9
1093,baseline,q14,1,14
1093,baseline,q16,9,3
1093,baseline,q22,4,5
1093,baseline,q20,6,2
1093,baseline,q24,6,10
1093,baseline,q27,27,12
1093,baseline,q40,14,8
1093,baseline,q39,17,11
1093,baseline,q34,3,6
1093,baseline,q35,10,13
1093,baseline,q32,7,17
1094,baseline,q7,50,1
1094,baseline,q8,25,8
1094,baseline,q9,80,2
1094,baseline,q10,15,12
1094,baseline,q30,60,6
1094,baseline,q14,50,11
1094,baseline,q16,88,17
1094,baseline,q22,3,3
1094,baseline,q20,89,7
1094,baseline,q24,2,4
1094,baseline,q27,100,9
1094,baseline,q40,1,16
1094,baseline,q39,50,15
1094,baseline,q34,35,5
1094,baseline,q35,45,13
1094,baseline,q32,10,14
1095,specific,q7,25,1
1095,specific,q8,1,14
1095,specific,q9,30,3
1095,specific,q10,10,9
1095,specific,q30,5,10
1095,specific,q14,4,5
1095,specific,q16,50,2
1095,specific,q22,0,6
1095,specific,q20,0,15
1095,specific,q24,50,12
1095,specific,q27,1,17
1095,specific,q40,75,7
1095,specific,q39,1,16
1095,specific,q34,0,11
1095,specific,q35,35,8
1095,specific,q32,35,4
1096,baseline,q7,39,13
1096,baseline,q8,28,4
1096,baseline,q9,36,6
1096,baseline,q10,32,15
1096,baseline,q30,35,7
1096,baseline,q14,42,8
1096,baseline,q16,66,1
1096,baseline,q22,40,17
1096,baseline,q20,65,3
1096,baseline,q24,33,16
1096,baseline,q27,69,12
1096,baseline,q40,50,2
1096,baseline,q39,34,9
1096,baseline,q34,58,10
1096,baseline,q35,69,14
1096,baseline,q32,29,11
1097,specific,q7,2,6
1097,specific,q8,1,7
1097,specific,q9,5,14
1097,specific,q10,3,12
1097,specific,q30,28,10
1097,specific,q14,3,13
1097,specific,q16,10,15
1097,specific,q22,2,2
1097,specific,q20,3,16
1097,specific,q24,4,1
1097,specific,q27,4,5
1097,specific,q40,6,3
1097,specific,q39,6,8
1097,specific,q34,2,17
1097,specific,q35,4,4
1097,specific,q32,2,9
1098,generic,q7,3,14
1098,generic,q8,3,6
1098,generic,q9,26,12
1098,generic,q10,2,17
1098,generic,q30,4,13
1098,generic,q14,1,9
1098,generic,q16,75,1
1098,generic,q22,5,16
1098,generic,q20,14,11
1098,generic,q24,6,10
1098,generic,q27,10,15
1098,generic,q40,35,4
1098,generic,q39,18,8
1098,generic,q34,10,3
1098,generic,q35,15,7
1098,generic,q32,5,2
1099,specific,q7,10,4
1099,specific,q8,0,6
1099,specific,q9,60,10
1099,specific,q10,5,5
1099,specific,q30,50,2
1099,specific,q14,32,12
1099,specific,q16,1,7
1099,specific,q22,20,8
1099,specific,q20,25,1
1099,specific,q24,5,11
1099,specific,q27,35,9
1099,specific,q40,60,13
1099,specific,q39,5,16
1099,specific,q34,5,15
1099,specific,q35,35,3
1099,specific,q32,75,14
1100,specific,q7,29,12
1100,specific,q8,27,16
1100,specific,q9,58,15
1100,specific,q10,74,5
1100,specific,q30,44,9
1100,specific,q14,39,10
1100,specific,q16,55,3
1100,specific,q22,63,13
1100,specific,q20,7,17
1100,specific,q24,14,2
1100,specific,q27,63,6
1100,specific,q40,86,7
1100,specific,q39,10,4
1100,specific,q34,3,1
1100,specific,q35,60,11
1100,specific,q32,91,8
1101,generic,q7,50,8
1101,generic,q8,33,1
1101,generic,q9,25,9
1101,generic,q10,33,3
1101,generic,q30,70,12
1101,generic,q14,66,15
1101,generic,q16,10,7
1101,generic,q22,25,11
1101,generic,q20,10,2
1101,generic,q24,20,14
1101,generic,q27,60,4
1101,generic,q40,25,6
1101,generic,q39,10,13
1101,generic,q34,10,5
1101,generic,q35,15,17
1101,generic,q32,75,16
1102,specific,q7,17,14
1102,specific,q8,1,5
1102,specific,q9,9,2
1102,specific,q10,13,1
1102,specific,q30,51,8
1102,specific,q14,16,17
1102,specific,q16,1,12
1102,specific,q22,4,3
1102,specific,q20,75,4
1102,specific,q24,25,15
1102,specific,q27,90,7
1102,specific,q40,92,11
1102,specific,q39,15,13
1102,specific,q34,1,6
1102,specific,q35,24,9
1102,specific,q32,7,10
1103,specific,q7,35,14
1103,specific,q8,14,17
1103,specific,q9,42,11
1103,specific,q10,7,2
1103,specific,q30,11,10
1103,specific,q14,6,13
1103,specific,q16,6,12
1103,specific,q22,3,9
1103,specific,q20,7,7
1103,specific,q24,1,3
1103,specific,q27,22,16
1103,specific,q40,40,6
1103,specific,q39,8,4
1103,specific,q34,8,15
1103,specific,q35,37,1
1103,specific,q32,25,8
1104,specific,q7,25,14
1104,specific,q8,5,2
1104,specific,q9,26,7
1104,specific,q10,21,5
1104,specific,q30,15,16
1104,specific,q14,60,6
1104,specific,q16,41,13
1104,specific,q22,56,9
1104,specific,q20,5,11
1104,specific,q24,8,8
1104,specific,q27,75,17
1104,specific,q40,30,1
1104,specific,q39,40,4
1104,specific,q34,10,10
1104,specific,q35,66,12
1104,specific,q32,70,15
1105,generic,q7,0,9
1105,generic,q8,40,16
1105,generic,q9,33,8
1105,generic,q10,25,14
1105,generic,q30,10,10
1105,generic,q14,10,17
1105,generic,q16,10,5
1105,generic,q22,35,15
1105,generic,q20,0,4
1105,generic,q24,80,12
1105,generic,q27,15,7
1105,generic,q40,100,3
1105,generic,q39,0,11
1105,generic,q34,0,1
1105,generic,q35,10,6
1105,generic,q32,15,13
1106,generic,q7,51,16
1106,generic,q8,1,9
1106,generic,q9,76,1
1106,generic,q10,98,3
1106,generic,q30,50,2
1106,generic,q14,100,17
1106,generic,q16,0,11
1106,generic,q22,98,12
1106,generic,q20,50,8
1106,generic,q24,50,15
1106,generic,q27,100,5
1106,generic,q40,76,7
1106,generic,q39,50,10
1106,generic,q34,25,4
1106,generic,q35,98,6
1106,generic,q32,100,13
1107,specific,q7,10,7
1107,specific,q8,1,3
1107,specific,q9,35,13
1107,specific,q10,5,16
1107,specific,q30,75,12
1107,specific,q14,5,4
1107,specific,q16,0,15
1107,specific,q22,7,8
1107,specific,q20,80,10
1107,specific,q24,2,17
1107,specific,q27,100,5
1107,specific,q40,25,6
1107,specific,q39,80,14
1107,specific,q34,3,1
1107,specific,q35,75,9
1107,specific,q32,10,11
1108,generic,q7,91,4
1108,generic,q8,84,12
1108,generic,q9,100,3
1108,generic,q10,72,7
1108,generic,q30,67,15
1108,generic,q14,86,5
1108,generic,q16,59,1
1108,generic,q22,67,8
1108,generic,q20,70,10
1108,generic,q24,95,16
1108,generic,q27,85,13
1108,generic,q40,73,2
1108,generic,q39,69,6
1108,generic,q34,72,14
1108,generic,q35,85,17
1108,generic,q32,83,11
1109,generic,q7,100,3
1109,generic,q8,85,6
1109,generic,q9,100,5
1109,generic,q10,86,11
1109,generic,q30,93,17
1109,generic,q14,100,7
1109,generic,q16,92,14
1109,generic,q22,72,8
1109,generic,q20,52,16
1109,generic,q24,82,2
1109,generic,q27,100,12
1109,generic,q40,100,4
1109,generic,q39,100,1
1109,generic,q34,64,10
1109,generic,q35,100,13
1109,generic,q32,73,15
1110,specific,q7,15,3
1110,specific,q8,1,17
1110,specific,q9,11,16
1110,specific,q10,5,12
1110,specific,q30,3,13
1110,specific,q14,5,9
1110,specific,q16,5,1
1110,specific,q22,4,15
1110,specific,q20,10,2
1110,specific,q24,18,14
1110,specific,q27,100,5
1110,specific,q40,25,6
1110,specific,q39,22,11
1110,specific,q34,3,10
1110,specific,q35,15,7
1110,specific,q32,10,8
1111,baseline,q7,5,5
1111,baseline,q8,5,17
1111,baseline,q9,8,6
1111,baseline,q10,5,10
1111,baseline,q30,50,2
1111,baseline,q14,50,9
1111,baseline,q16,50,13
1111,baseline,q22,50,8
1111,baseline,q20,25,16
1111,baseline,q24,10,12
1111,baseline,q27,95,14
1111,baseline,q40,10,3
1111,baseline,q39,2,7
1111,baseline,q34,5,1
1111,baseline,q35,50,15
1111,baseline,q32,3,11
