condition,feature,prevalence
8/12,cats,0.3072220036142572
8/16,maple_syrup,0.3817896215575855
8/16,clap,0.4231252701612077
8/16,dance,0.5304666634195068
8/16,potatoes,0.4202868827227457
8/16,opera,0.3936259448006412
8/16,cave,0.3462685973402501
8/16,look_left,0.4208123384698795
8/16,yellow,0.40543603195094924
8/16,banjo,0.3871574097960392
8/16,lion,0.2649109339661069
8/16,window,0.33360117067007167
8/16,song,0.6313959410441801
8/16,garbage,0.29411158707110546
8/16,sad,0.39107963441994387
8/16,pond,0.5055490922641889
8/16,cats,0.2680698727363717
8/8,maple_syrup,0.4759401394397842
8/8,clap,0.5425917820066769
8/8,dance,0.6404661470521339
8/8,potatoes,0.4933232067435207
8/8,opera,0.4618883274940915
8/8,cave,0.4551880962299245
8/8,look_left,0.49787156322095943
8/8,yellow,0.5200112861307425
8/8,banjo,0.4680604618436814
8/8,lion,0.363190115082496
8/8,window,0.45562614487819814
8/8,song,0.7288240309644697
8/8,garbage,0.41112399125176563
8/8,sad,0.46804052296573245
8/8,pond,0.5822143859253645
8/8,cats,0.3723115949432445
baseline,maple_syrup,0.3813991795384858
baseline,clap,0.4222478970514003
baseline,dance,0.5298028453198109
baseline,potatoes,0.4198196743863321
baseline,opera,0.3934956094382192
baseline,cave,0.3452364313193846
baseline,look_left,0.4202197319527407
baseline,yellow,0.4043362139138774
baseline,banjo,0.3869145177223068
baseline,lion,0.2643859103586011
baseline,window,0.3328449472113016
baseline,song,0.6312658934633821
baseline,garbage,0.2932730905593496
baseline,sad,0.3904888448186139
baseline,pond,0.5046847190362694
baseline,cats,0.2674440818056701
