hashed_id,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
1f8180cdf4c4,67cf033fcffed7a9f5632876,APPROVED,Not Applicable,2025-03-10T15:20:35Z,2025-03-10T15:24:14Z,2025-03-10T18:24:57Z,2025-03-10T15:24:14Z,219,CLKQ470I,2704,English,29,Female,Asian,China,United States,United States,Chinese,No,DATA_EXPIRED
aad264b3d66d,67cf0362a34f9adda1262207,APPROVED,Not Applicable,2025-03-10T15:21:14Z,2025-03-10T15:29:50Z,2025-03-10T15:29:51Z,2025-03-10T15:29:51Z,516,CLKQ470I,1381,English,34,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
12f57e73b5ae,67cf0394718a9ae88201cbb5,APPROVED,Not Applicable,2025-03-10T15:22:03Z,2025-03-10T15:27:15Z,2025-03-10T15:27:16Z,2025-03-10T15:27:16Z,313,CLKQ470I,6788,English,34,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
36b60f4fab55,67cf0395d9b4f00f8605eef5,APPROVED,Not Applicable,2025-03-10T15:22:05Z,2025-03-10T15:33:04Z,2025-03-10T15:33:05Z,2025-03-10T15:33:05Z,660,CLKQ470I,1788,English,52,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6531e2e3fa35,67cf039eb7044af035898127,APPROVED,Not Applicable,2025-03-10T15:22:20Z,2025-03-10T15:28:05Z,2025-03-10T15:28:07Z,2025-03-10T15:28:06Z,345,CLKQ470I,1548,"Dutch, English",51,Male,White,United States,United States,United States,English,No,Full-Time
a06a59e56385,67cf03a7ba3ed70216ae39bd,APPROVED,Not Applicable,2025-03-10T15:22:34Z,2025-03-10T15:39:17Z,2025-03-10T15:39:18Z,2025-03-10T15:39:18Z,1004,CLKQ470I,1063,English,37,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
b35ed78ba912,67cf03be28c47468a2d800cf,APPROVED,Not Applicable,2025-03-10T15:22:52Z,2025-03-10T15:28:55Z,2025-03-10T15:28:56Z,2025-03-10T15:28:56Z,364,CLKQ470I,2478,English,53,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1ec15f08952f,67cf03c88d1e846d15c7c230,APPROVED,Not Applicable,2025-03-10T15:22:53Z,2025-03-10T15:29:09Z,2025-03-10T15:29:10Z,2025-03-10T15:29:10Z,377,CLKQ470I,3587,English,39,Male,White,United States,United States,United States,English,No,Full-Time
2c046d36f717,67cf03dfb3a97ca912c33db2,APPROVED,Not Applicable,2025-03-10T15:23:20Z,2025-03-10T15:28:00Z,2025-03-10T15:28:01Z,2025-03-10T15:28:01Z,280,CLKQ470I,219,"English, Italian",35,Female,White,United States,United States,United States,English,No,Full-Time
3652c8e121af,67cf03dfd3e05708f9bd0d26,APPROVED,Not Applicable,2025-03-10T15:23:21Z,2025-03-10T15:28:13Z,2025-03-10T15:28:14Z,2025-03-10T15:28:14Z,293,CLKQ470I,4829,English,52,Female,White,United States,United States,United States,English,No,Full-Time
